directorate,team_full,team_short,benchmark_group,exclude
Adult Community Mental Health Services (L3),302 304 Bexley Care Triage & Care SPC,Bexley Care Triage & Care SPC,,
Adult Community Mental Health Services (L3),303 CMH Bexley Wellbeing Hub,Bexley Wellbeing Hub,Hub,
Adult Community Physical Health Services (L3),306 310 Bexl Spec Neuro Rehab & Comm SLT,Bexl Spec Neuro Rehab & Comm SLT,,
Offender Healthcare (L3),307 326 Elmley Inpatients & Substance Misuse,Elmley Inpatients & Substance Misuse,Prisons,
Offender Healthcare (L3),"308 311 316 317 Guys Marsh Mgmt & Admin, Phar, Primary Care & MH","Guys Marsh Mgmt & Admin, Phar, Primary Care & MH",Prisons,
Offender Healthcare (L3),312 Elmley Primary Care,Elmley Primary Care,Primary Care,
Adult Community Physical Health Services (L3),313 ACS Bexley Rapid Response Team,Bexley Rapid Response Team,Rapid Response,
Adult Acute & Crisis Mental Health (L3),314 IR&C Bexley Crisis Line Winter Pressure,Bexley Crisis Line Winter Pressure,,
Adult Community Physical Health Services (L3),"319 156 149 399 Bex EOL Serv, Night Serv, Twilight & DN Cent","Bex EOL Serv, Night Serv, Twilight & DN Cent",District Nursing,
Adult Learning Disabilities (L3),320 ALD Bromley Complex Physical Health,Bromley Complex Physical Health,ALD Complex Physical Health,
Adult Learning Disabilities (L3),321 ALD Bromley Mental Health/Ch Behaviour,Bromley Mental Health/Ch Behaviour,ALD MH,
Offender Healthcare (L3),"329 328 624 330 Portland Mgmt, MH, Primary Care & Pharmacy","Portland Mgmt, MH, Primary Care & Pharmacy",Prisons,
Adult Community Physical Health Services (L3),331 ACS Bexley Diabetes Service,Bexley Diabetes Service,Diabetes,
Offender Healthcare (L3),"341 697 536 ISIS Mental Health, Pharmacy & Supp Services","ISIS Mental Health, Pharmacy & Supp Services",Prisons,
Offender Healthcare (L3),342 ISIS Primary Care,ISIS Primary Care,Primary Care,
Forensics (L3),348 503 Psychology & William Morris Centre,Psychology & William Morris Centre,,
Corporate (L3),349 526 Occupational Therapy & AHP Precep Prog,Occupational Therapy & AHP Precep Prog,Corporate Therapies,
Corporate (L3),349 Occupational Therapy,Occupational Therapy,,
Corporate (L3),350 Central Services,Central Services,,
Forensics (L3),352 362 Danson & Medical Danson,Danson & Medical Danson,Forensic Medical,
Forensics (L3),352 Danson,Danson,Forensic Ward,
Forensics (L3),353 364 Crofton & Medical Crofton,Crofton & Medical Crofton,Forensic Medical,
Forensics (L3),353 Crofton,Crofton,Forensic Ward,
Forensics (L3),354 Burgess,Burgess,Forensic Ward,
Forensics (L3),354 Burgess & Medical Burgess,Burgess & Medical Burgess,Forensic Medical,
Forensics (L3),355 Birchwood,Birchwood,Forensic Ward,
Forensics (L3),356 Joydens,Joydens,Forensic Ward,
Forensics (L3),356 Joydens & Medical Joydens,Joydens & Medical Joydens,Forensic Medical,
